,title,ingredients,directions,link,source,NER
327713,Creamy Coconut Cake,"[""1/2 c. shortening"", ""1/2 c. butter or margarine, softened"", ""2 c. sugar"", ""5 eggs, separated"", ""2 c. all-purpose flour"", ""1 tsp. soda"", ""1/4 tsp. salt"", ""1 c. buttermilk"", ""1 tsp. vanilla"", ""2/3 c. flaked coconut"", ""pinch of cream of tartar"", ""Coconut-Pecan Frosting""]","[""Cream"", ""shortening,"", ""butter"", ""and"", ""sugar\tuntil light and fluffy."", ""Add egg yolks, one at a time, beating well after each addition."", ""Combine\tflour,\tsoda"", ""and"", ""salt;"", ""add"", ""to"", ""creamed mixture alternately with buttermilk; beginning and ending with flour"", ""mixture."", ""Beat"", ""well"", ""after"", ""each"", ""addition."", ""Stir\tin vanilla"", ""and coconut."", ""Beat egg whites until frothy; add cream of tartar and continue beating until egg whites are stiff but not dry."", ""Fold\tegg"", ""whites into batter."", ""Spoon batter into 3 greased and"", ""floured 9-inch cake pans."", ""Bake at 350\u00b0 for 25 to 30 minutes.""]",www.cookbooks.com/Recipe-Details.aspx?id=374234,Gathered,"[""shortening"", ""butter"", ""sugar"", ""eggs"", ""flour"", ""soda"", ""salt"", ""buttermilk"", ""vanilla"", ""flaked coconut"", ""cream of tartar"", ""Coconut-Pecan Frosting""]"
328012,Ice-Itself Chocolate Layer Cake,"[""1 c. flake coconut"", ""1/2 c. pecans, chopped"", ""1/3 c. packed light brown sugar"", ""3 Tbsp. butter or margarine"", ""3 Tbsp. evaporated milk"", ""2 Tbsp. light corn syrup"", ""1/2 c. butter or margarine, softened"", ""1 c. plus 2 Tbsp. sugar"", ""1 egg"", ""1/2 tsp. vanilla"", ""1 1/4 c. plus 2 Tbsp. unsifted all-purpose flour"", ""1/3 c. Hershey's cocoa"", ""1 tsp. baking soda"", ""1/2 tsp. salt"", ""1 c. buttermilk or sour milk*""]","[""Line two 8-inch layer pans with foil; butter foil."", ""Combine coconut, pecans, brown sugar, 3 tablespoons melted butter, the evaporated milk and corn syrup in a small bowl."", ""Divide mixture and spread evenly over bottom of each pan.""]",www.cookbooks.com/Recipe-Details.aspx?id=450110,Gathered,"[""flake coconut"", ""pecans"", ""brown sugar"", ""butter"", ""milk"", ""light corn syrup"", ""butter"", ""sugar"", ""egg"", ""vanilla"", ""flour"", ""cocoa"", ""baking soda"", ""salt"", ""buttermilk""]"
328338,Old Fashioned Tea Cakes,"[""3 c. flour"", ""1 c. sugar"", ""1 egg"", ""1 level tsp. soda"", ""1/2 c. buttermilk"", ""1/2 c. butter"", ""1/2 tsp. salt"", ""flavor (grated orange rind, orange extract or any other flavor)""]","[""Cream butter, sugar and salt together."", ""Mix soda, extract and beaten egg with buttermilk."", ""Add to butter mixture, alternating with flour."", ""If dough seems too soft to roll, add a little more flour."", ""Roll to desired thinness, cut, place on greased cookie sheet and bake at 425\u00b0 until golden brown.""]",www.cookbooks.com/Recipe-Details.aspx?id=673398,Gathered,"[""flour"", ""sugar"", ""egg"", ""soda"", ""buttermilk"", ""butter"", ""salt"", ""flavor""]"
329639,Buttermilk Cake,"[""1 c. butter or Crisco"", ""2 c. sugar"", ""4 eggs"", ""3 c. flour"", ""1/2 tsp. baking powder"", ""1 c. buttermilk"", ""1/2 tsp. soda"", ""1/4 tsp. salt"", ""1 tsp. vanilla"", ""1 tsp. almond extract""]","[""Cream together butter or Crisco and sugar. Stir together baking powder, buttermilk, soda and salt."", ""Mix all together."", ""Bake at 325\u00b0 for 33 minutes. Frost with Caramel icing.""]",www.cookbooks.com/Recipe-Details.aspx?id=61409,Gathered,"[""butter"", ""sugar"", ""eggs"", ""flour"", ""baking powder"", ""buttermilk"", ""soda"", ""salt"", ""vanilla"", ""almond extract""]"
329737,Prize Winning Persimmon Pudding,"[""2 c. persimmon pulp"", ""2 c. sugar"", ""2 eggs, beaten"", ""1/8 tsp. salt"", ""1 1/2 c. flour"", ""1 tsp. soda"", ""1 tsp. baking powder"", ""1/2 tsp. cinnamon"", ""1 1/2 c. buttermilk"", ""1/4 c. half and half cream"", ""1/4 c. butter"", ""1 tsp. vanilla""]","[""Cream pulp and sugar and add beaten eggs, beating well."", ""Put soda into buttermilk and salt until foaming ceases."", ""Add to pulp mixture alternately with dry ingredients which have been sifted together."", ""When all is blended, add the cream and butter."", ""Mix well."", ""Pour into greased pan and bake at 350\u00b0 for 45 minutes to 1 hour.""]",www.cookbooks.com/Recipe-Details.aspx?id=204768,Gathered,"[""persimmon pulp"", ""sugar"", ""eggs"", ""salt"", ""flour"", ""soda"", ""baking powder"", ""cinnamon"", ""buttermilk"", ""cream"", ""butter"", ""vanilla""]"
330627,Red Velvet Cake And Icing,"[""1 c. butter and Crisco"", ""2 c. sugar"", ""2 eggs, beaten"", ""1 Tbsp. cocoa"", ""1 Tbsp. vinegar"", ""1/2 tsp. salt"", ""1 1/2 tsp. soda"", ""2 1/2 c. plain flour"", ""1 c. buttermilk"", ""1 tsp. vanilla"", ""2 oz. red food coloring""]","[""Grease four cake pans. Sprinkle with flour. Cream butter and sugar. Add eggs and beat until fluffy. Make a paste of cocoa and vinegar. Add to butter mixture. Sift salt, soda and flour together. Add to mixture, alternating with buttermilk. Add vanilla and coloring. Bake layers at 350\u00b0 for 15 to 20 minutes.""]",www.cookbooks.com/Recipe-Details.aspx?id=16449,Gathered,"[""butter"", ""sugar"", ""eggs"", ""cocoa"", ""vinegar"", ""salt"", ""soda"", ""flour"", ""buttermilk"", ""vanilla"", ""red food coloring""]"
331377,Hershey Bar Cake,"[""8 plain Hershey bars (7/8 oz.)"", ""2 sticks butter"", ""4 eggs"", ""2 c. sugar"", ""2 1/2 c. plain flour"", ""1/4 tsp. salt"", ""1/4 tsp. soda"", ""1 c. buttermilk"", ""2 tsp. vanilla"", ""2 c. nuts""]","[""Soften Hershey bars over"", ""hot water until they are limp (not runny) and"", ""soften"", ""butter."", ""Cream"", ""butter and chocolate; add eggs."", ""Mix dry"", ""ingredients."", ""Mix"", ""some"", ""flour"", ""with nuts. Add dry ingredients alternately with buttermilk to the creamed mixture; add nuts."", ""Bake in a tube pan at 325\u00b0 for 70 minutes.""]",www.cookbooks.com/Recipe-Details.aspx?id=594782,Gathered,"[""butter"", ""eggs"", ""sugar"", ""flour"", ""salt"", ""soda"", ""buttermilk"", ""vanilla"", ""nuts""]"
334501,Chocolate Drop Cookies,"[""1 c. sugar"", ""1/2 c. butter"", ""1/3 c. buttermilk or water"", ""1 tsp. vanilla"", ""1 egg"", ""2 oz. chocolate, melted"", ""1 3/4 c. flour"", ""1/2 tsp. salt"", ""1/2 tsp. baking soda""]","[""Preheat oven to 400\u00b0."", ""Melt chocolate and mix ingredients. Drop by teaspoonful onto ungreased cookie sheet."", ""Bake for 8 to 10 minutes.""]",www.cookbooks.com/Recipe-Details.aspx?id=529249,Gathered,"[""sugar"", ""butter"", ""buttermilk"", ""vanilla"", ""egg"", ""chocolate"", ""flour"", ""salt"", ""baking soda""]"
334665,Mom'S Sugar Cookies,"[""5 c. flour"", ""2 c. sugar"", ""1 tsp. soda"", ""1 tsp. baking powder"", ""1/2 tsp. salt"", ""1 tsp. vanilla"", ""1/4 tsp. nutmeg"", ""1 c. butter or margarine"", ""3 eggs"", ""1/2 c. buttermilk""]","[""Sift flour with 1 cup of sugar and next 4 ingredients, in a large bowl."", ""Cut in butter (use hands)."", ""Beat eggs slightly and add rest of sugar to eggs, gradually."", ""Blend in buttermilk and vanilla."", ""Add and mix into first mix of flour."", ""Bake at 375\u00b0 for 8 to 10 minutes, or until lightly browned on the bottom."", ""Do not overbake.""]",www.cookbooks.com/Recipe-Details.aspx?id=204201,Gathered,"[""flour"", ""sugar"", ""soda"", ""baking powder"", ""salt"", ""vanilla"", ""nutmeg"", ""butter"", ""eggs"", ""buttermilk""]"
336989,Rhubarb Cake,"[""1/2 c. butter"", ""1 1/2 c. brown sugar"", ""1 egg"", ""1 c. buttermilk"", ""1 tsp. soda"", ""1/2 tsp. salt"", ""1 tsp. vanilla"", ""1/2 c. chopped nuts"", ""2 c. flour"", ""2 c. chopped rhubarb""]","[""Cream together the butter and brown sugar."", ""Add the egg, buttermilk, soda, salt and vanilla."", ""Fold in the flour."", ""Add the rhubarb and nuts."", ""Pour into a greased 9 x 9-inch square pan.""]",www.cookbooks.com/Recipe-Details.aspx?id=333750,Gathered,"[""butter"", ""brown sugar"", ""egg"", ""buttermilk"", ""soda"", ""salt"", ""vanilla"", ""nuts"", ""flour"", ""rhubarb""]"
337024,Cream Cheese Cookies,"[""1/2 c. butter"", ""1 c. sugar"", ""1 well beaten egg"", ""1 (3 oz.) pkg. cream cheese, softened"", ""2 Tbsp. buttermilk or plain yogurt"", ""1 tsp. vanilla"", ""2 c. sifted flour"", ""1/8 tsp. baking soda"", ""1/2 tsp. baking powder"", ""1/2 tsp. salt""]","[""Blend until creamy the butter, sugar and egg."", ""Beat in cream cheese, buttermilk or yogurt and vanilla."", ""Add flour, baking soda, baking powder and salt."", ""Beat well."", ""Roll into slight 1-inch balls. Place on ungreased cookie sheet 2 to 3-inches apart."", ""Using fork dipped in flour, press onto cookie and flaten slightly."", ""Sprinkle with colored sugars or a cinnamon-sugar mixture."", ""Bake at 350\u00b0 for 12 to 15 minutes or until set."", ""Do not brown!"", ""Yields 60 (2-inch) cookies.""]",www.cookbooks.com/Recipe-Details.aspx?id=298697,Gathered,"[""butter"", ""sugar"", ""egg"", ""cream cheese"", ""buttermilk"", ""vanilla"", ""flour"", ""baking soda"", ""baking powder"", ""salt""]"
337518,Margie Thomason'S Lemon-Buttermilk Pound Cake,"[""1/2 c. Crisco"", ""1 stick butter"", ""2 c. sugar"", ""3 eggs"", ""3 c. flour, sifted"", ""1 c. buttermilk"", ""1/2 tsp. salt"", ""1/2 tsp. soda"", ""1 tsp. vanilla"", ""1 Tbsp. lemon rind, grated"", ""1 Tbsp. lemon juice""]","[""Cream shortening; add sugar and beat."", ""Add eggs, one at a time."", ""Add dry ingredients, sifted together, alternately with buttermilk."", ""Add flavorings."", ""Pour into greased tube or Bundt pan. Bake at 325\u00b0 for about 1 1/2 hours.""]",www.cookbooks.com/Recipe-Details.aspx?id=1004028,Gathered,"[""Crisco"", ""butter"", ""sugar"", ""eggs"", ""flour"", ""buttermilk"", ""salt"", ""soda"", ""vanilla"", ""lemon rind"", ""lemon juice""]"
337768,Coca-Cola Cake,"[""2 c. sifted all-purpose flour"", ""2 c. granulated sugar"", ""3 heaping Tbsp. cocoa"", ""1/2 tsp. salt"", ""1 stick butter"", ""1/2 c. cooking oil"", ""1 c. Coke (Classic)"", ""1/2 c. buttermilk or sour milk"", ""1 tsp. soda"", ""2 eggs, unbeaten"", ""1 tsp. vanilla"", ""1 1/2 c. miniature marshmallows""]","[""In a large bowl, sift together the flour, sugar, cocoa and salt."", ""Bring to a boil the butter, oil and Coke, then pour over the sifted ingredients."", ""Add the buttermilk or sour milk, soda, eggs and vanilla."", ""Beat batter until smooth, then fold in marshmallows. Turn into greased 9 x 13-inch pan."", ""Spread marshmallows around with spatula."", ""Bake at 350\u00b0 for 45 to 50 minutes.""]",www.cookbooks.com/Recipe-Details.aspx?id=491822,Gathered,"[""flour"", ""sugar"", ""cocoa"", ""salt"", ""butter"", ""cooking oil"", ""buttermilk"", ""soda"", ""eggs"", ""vanilla"", ""marshmallows""]"
338159,Whoopie Pies,"[""4 c. flour"", ""2 c. sugar"", ""3/4 c. cocoa"", ""2 tsp. vanilla"", ""1 c. butter"", ""1 c. buttermilk"", ""1 c. hot water"", ""2 eggs"", ""2 tsp. soda"", ""2 tsp. salt""]","[""Cream shortening and sugar."", ""Add eggs, salt and vanilla. Dissolve cocoa in hot water; add to preceding."", ""Dissolve soda and buttermilk."", ""Add alternately with flour.""]",www.cookbooks.com/Recipe-Details.aspx?id=599517,Gathered,"[""flour"", ""sugar"", ""cocoa"", ""vanilla"", ""butter"", ""buttermilk"", ""water"", ""eggs"", ""soda"", ""salt""]"
339453,Mom'S Rhubarb Coffee Cake,"[""1/2 c. oleo"", ""1 1/2 c. sugar"", ""1 egg"", ""1 c. buttermilk"", ""1 tsp. soda"", ""1 tsp. vanilla"", ""1/2 tsp. salt"", ""2 1/2 c. flour"", ""3 c. rhubarb, drained if frozen"", ""1/2 c. walnuts"", ""1 c. brown sugar""]","[""Preheat oven to 350\u00b0."", ""Grease 13 x 9-inch pan."", ""Mix oleo, sugar, eggs, buttermilk, soda, vanilla and salt."", ""Add flour and rhubarb mix."", ""Pour into greased pan."", ""Mix brown sugar and nuts; sprinkle over top."", ""Bake 45 minutes or until knife comes out clean.""]",www.cookbooks.com/Recipe-Details.aspx?id=577626,Gathered,"[""oleo"", ""sugar"", ""egg"", ""buttermilk"", ""soda"", ""vanilla"", ""salt"", ""flour"", ""rhubarb"", ""walnuts"", ""brown sugar""]"
339996,Raisin Cake,"[""1 (15 oz.) box raisins, cooked and drained"", ""2/3 c. butter or margarine"", ""1 1/3 c. sugar"", ""pinch of salt"", ""2 eggs"", ""1 tsp. vanilla"", ""1 tsp. cinnamon"", ""1 tsp. nutmeg"", ""1 tsp. allspice"", ""1 tsp. cloves"", ""1 1/2 tsp. soda"", ""1 c. buttermilk"", ""enough flour to make a medium stiff batter""]","[""Preheat oven to 350\u00b0. Cream butter and sugar; add eggs and beat. Add raisins, spices and vanilla; mix. Add buttermilk, soda and flour; mix well. Add little flour at a time to make a medium stiff batter. Bake 50 minutes. Baking time depends on oven.""]",www.cookbooks.com/Recipe-Details.aspx?id=1007220,Gathered,"[""raisins"", ""butter"", ""sugar"", ""salt"", ""eggs"", ""vanilla"", ""cinnamon"", ""nutmeg"", ""allspice"", ""cloves"", ""soda"", ""buttermilk"", ""flour""]"
344672,Pumpkin Nut Bread,"[""1 1/2 c. flour"", ""1 1/4 tsp. soda"", ""1 tsp. salt"", ""1 tsp. cinnamon"", ""1/2 tsp. nutmeg"", ""1 c. pumpkin"", ""1 c. sugar"", ""1/2 c. buttermilk"", ""1 egg"", ""2 Tbsp. softened butter"", ""1 c. chopped pecans""]","[""Sift together dry ingredients."", ""Combine pumpkin, sugar, buttermilk and eggs."", ""Add softened butter; beat until well blended."", ""Stir in nuts."", ""Bake in a well-greased and floured loaf pan for 1 hour at 350\u00b0.""]",www.cookbooks.com/Recipe-Details.aspx?id=467902,Gathered,"[""flour"", ""soda"", ""salt"", ""cinnamon"", ""nutmeg"", ""pumpkin"", ""sugar"", ""buttermilk"", ""egg"", ""butter"", ""pecans""]"
346619,Sugar Doughnuts,"[""2 eggs"", ""3 Tbsp. butter"", ""1 c. sugar"", ""1 c. buttermilk"", ""1 tsp. soda"", ""3 1/2 c. flour"", ""1 tsp. salt"", ""1 tsp. nutmeg"", ""1 tsp. baking powder"", ""1/2 tsp. vanilla"", ""1 tsp. lemon flavoring""]","[""Cream sugar and shortening; add eggs; beat well."", ""Add milk with soda."", ""Add flour with baking powder, salt and nutmeg."", ""(Use enough flour to handle easily.)"", ""Roll on floured board and cut out."", ""Fry in deep fat.""]",www.cookbooks.com/Recipe-Details.aspx?id=988701,Gathered,"[""eggs"", ""butter"", ""sugar"", ""buttermilk"", ""soda"", ""flour"", ""salt"", ""nutmeg"", ""baking powder"", ""vanilla"", ""lemon flavoring""]"
347225,Buttermilk Cake,"[""2 sticks butter"", ""2 c. sugar"", ""3 eggs"", ""1/4 tsp. soda"", ""1 c. buttermilk"", ""2 3/4 c. flour (plain)"", ""1/4 tsp. salt"", ""4 Tbsp. vanilla"", ""4 Tbsp. rum flavoring""]","[""Cream butter with sugar."", ""Add eggs, 1 at a time, beating after each one."", ""Mix soda with buttermilk."", ""Sift flour and salt three times before measuring; add to mixture."", ""Add flavorings in small amounts at a time."", ""Bake at 325\u00b0 for 1 1/2 hours in a tube pan lined with wax paper.""]",www.cookbooks.com/Recipe-Details.aspx?id=729965,Gathered,"[""butter"", ""sugar"", ""eggs"", ""soda"", ""buttermilk"", ""flour"", ""salt"", ""vanilla"", ""rum flavoring""]"
348501,Fudge Cake,"[""2 c. sugar"", ""1/2 c. butter"", ""2 eggs"", ""1/2 c. buttermilk"", ""6 tsp. cocoa"", ""1 1/2 tsp. soda"", ""1 tsp. vanilla"", ""1/4 tsp. salt"", ""2 c. flour"", ""1 c. hot water""]","[""Sift dry ingredients together."", ""Melt butter in one cup of hot water."", ""Stir in dry ingredients. Add whole eggs and stir into mix. Add 1/2 cup buttermilk with soda."", ""This makes a thin batter."", ""Bake at 350\u00b0 for 25 to 30 minutes."", ""Use your own favorite chocolate icing.""]",www.cookbooks.com/Recipe-Details.aspx?id=933051,Gathered,"[""sugar"", ""butter"", ""eggs"", ""buttermilk"", ""cocoa"", ""soda"", ""vanilla"", ""salt"", ""flour"", ""water""]"
348984,Italian Cream Cake,"[""1/2 c. Crisco"", ""1 stick butter or oleo"", ""2 c. sugar"", ""5 eggs, separated"", ""2 c. flour"", ""1 tsp. soda"", ""1/2 tsp. salt"", ""1 c. buttermilk"", ""1 tsp. vanilla"", ""2 c. coconut"", ""1 c. chopped pecans""]","[""Cream Crisco, oleo (or butter) and sugar; beat until smooth. Add egg yolks; beat."", ""Combine flour and soda."", ""Add alternately with buttermilk."", ""Add coconut and nuts."", ""Fold in beaten egg whites that have been beaten until stiff."", ""Pour in 3 layer cake pans, greased and floured."", ""Bake at 350\u00b0 for 25 to 30 minutes."", ""Cool.""]",www.cookbooks.com/Recipe-Details.aspx?id=151333,Gathered,"[""Crisco"", ""butter"", ""sugar"", ""eggs"", ""flour"", ""soda"", ""salt"", ""buttermilk"", ""vanilla"", ""coconut"", ""pecans""]"
349499,Gumdrop Coconut Cake,"[""1 c. butter"", ""2 c. sugar"", ""4 eggs"", ""3 1/2 c. all-purpose flour"", ""1 tsp. soda"", ""1/2 tsp. salt"", ""1/2 c. buttermilk"", ""2 c. pecans"", ""2 c. coconut"", ""1 lb. mixed gumdrops (no licorice)"", ""1 tsp. vanilla""]","[""Cream butter and sugar."", ""Add eggs, 1 at a time, beating well after each addition."", ""Combine flour, soda and salt; add to creamed mixture alternately with buttermilk."", ""Fold in nuts, coconut and chopped gumdrops."", ""(If gumdrops are sticky, roll in about 4 tablespoons flour.)"", ""Add vanilla."", ""Spoon into 2 well-greased 9 x 5 x 2-inch loaf pans."", ""Bake at 300\u00b0 about 1 1/2 hours or until cake tests done.""]",www.cookbooks.com/Recipe-Details.aspx?id=1066425,Gathered,"[""butter"", ""sugar"", ""eggs"", ""flour"", ""soda"", ""salt"", ""buttermilk"", ""pecans"", ""coconut"", ""mixed gumdrops"", ""vanilla""]"
351632,Mephistol Cake,"[""1/2 c. shortening"", ""1 1/2 Tbsp. cocoa"", ""1 egg"", ""2/3 c. buttermilk"", ""1 tsp. soda"", ""salt"", ""1 c. sugar"", ""1 tsp. baking powder"", ""1 tsp. vanilla"", ""1/2 c. pecans"", ""2 1/2 c. (scant) flour""]","[""Cream shortening, cocoa and sugar."", ""Add egg."", ""Add dry ingredients alternately with milk."", ""Add vanilla and pecans."", ""Bake in layers at 350\u00b0.""]",www.cookbooks.com/Recipe-Details.aspx?id=513948,Gathered,"[""shortening"", ""cocoa"", ""egg"", ""buttermilk"", ""soda"", ""salt"", ""sugar"", ""baking powder"", ""vanilla"", ""pecans"", ""flour""]"
353997,Grandma Fore'S Buttermilk Pound Cake,"[""3 c. sugar"", ""1 c. butter (room temperature)"", ""6 eggs, separated"", ""2 tsp. vanilla or lemon extract"", ""3 c. flour"", ""1/4 tsp. salt"", ""1/4 tsp. soda"", ""1 c. buttermilk""]","[""Preheat oven to 350\u00b0."", ""Grease and flour tube pan or Bundt pan. Mix together dry ingredients and set aside."", ""Cream sugar and butter together with electric mixer."", ""Add egg yolks, one at a time, mixing well after each addition."", ""Add flavoring."", ""Begin adding dry ingredients to creamed mixture, alternately with buttermilk, mixing well after each addition."", ""Beat egg whites until stiff peaks and gently fold into batter."", ""Pour batter into a tube pan or large Bundt pan (loaf pans may also be used, adjust baking times)."", ""Bake for 1 hour and 10 minutes or until cake test done.""]",www.cookbooks.com/Recipe-Details.aspx?id=195090,Gathered,"[""sugar"", ""butter"", ""eggs"", ""vanilla"", ""flour"", ""salt"", ""soda"", ""buttermilk""]"
355991,Phyllis' Red Velvet Cake,"[""1/2 c. shortening"", ""1 1/2 c. sugar"", ""1 tsp. soda"", ""2 eggs"", ""1 c. buttermilk"", ""2 oz. red food coloring"", ""1 Tbsp. vinegar"", ""2 Tbsp. cocoa"", ""1 tsp. butter flavoring"", ""2 1/4 c. plain flour"", ""1 tsp. salt"", ""1 tsp. vanilla""]","[""Cream shortening, sugar and eggs."", ""Make a paste with food coloring and cocoa and add to the mixture."", ""Add salt and flour with buttermilk and flavorings."", ""Alternately add soda and vinegar and don't beat hard, just blend.""]",www.cookbooks.com/Recipe-Details.aspx?id=750855,Gathered,"[""shortening"", ""sugar"", ""soda"", ""eggs"", ""buttermilk"", ""red food coloring"", ""vinegar"", ""cocoa"", ""butter"", ""flour"", ""salt"", ""vanilla""]"
358648,Old Fashion Stack Cake,"[""1/2 c. shortening"", ""1/2 c. sugar"", ""1/3 c. molasses (sorghum)"", ""1 egg, well beaten"", ""1/2 c. buttermilk"", ""3 1/2 c. flour"", ""2 tsp. baking powder"", ""1/2 tsp. soda"", ""1/2 tsp. salt"", ""1 tsp. ginger"", ""1 tsp. vanilla""]","[""Cream sugar and shortening together. Add egg, molasses and buttermilk and mix well. Sift flour, baking powder, soda, salt and ginger together and add to other mixture. Roll real thin and bake.""]",www.cookbooks.com/Recipe-Details.aspx?id=91476,Gathered,"[""shortening"", ""sugar"", ""molasses"", ""egg"", ""buttermilk"", ""flour"", ""baking powder"", ""soda"", ""salt"", ""ginger"", ""vanilla""]"
360109,Buttermilk Pound Cake,"[""1 c. Crisco"", ""2 c. sugar"", ""3 c. flour"", ""1/2 tsp. soda"", ""1/4 tsp. salt"", ""1 c. buttermilk"", ""3 eggs"", ""1 tsp. vanilla"", ""1 tsp. lemon extract"", ""1 tsp. butter""]","[""Cream the sugar and Crisco. Add eggs."", ""Add dry ingredients alternately with milk."", ""Add flavorings and butter."", ""Bake in Bundt pan for 1 hour at 350\u00b0."", ""Serve by itself or with toppings.""]",www.cookbooks.com/Recipe-Details.aspx?id=549943,Gathered,"[""Crisco"", ""sugar"", ""flour"", ""soda"", ""salt"", ""buttermilk"", ""eggs"", ""vanilla"", ""lemon extract"", ""butter""]"
360477,Glorified Gingerbread,"[""1/2 c. butter or oleo"", ""1 c. sugar"", ""2 c. flour"", ""1/2 tsp. salt"", ""1 tsp. cinnamon"", ""1 tsp. nutmeg"", ""2 Tbsp. molasses"", ""1 egg"", ""1 c. buttermilk"", ""1 tsp. soda"", ""1/2 tsp. ginger""]","[""Mix butter, sugar, flour and salt with hands."", ""Keep 1/2 cup for the topping."", ""Mix rest with egg that has been beaten first and add rest of ingredients."", ""Beat with electric mixer."", ""Put in pan and put on reserved topping."", ""Bake in a 9 x 13-inch loaf cake pan at 350\u00b0 for 30 minutes or until springs back at finger touch.""]",www.cookbooks.com/Recipe-Details.aspx?id=447989,Gathered,"[""butter"", ""sugar"", ""flour"", ""salt"", ""cinnamon"", ""nutmeg"", ""molasses"", ""egg"", ""buttermilk"", ""soda"", ""ginger""]"
361463,Whole Wheat Banana Nut Bread,"[""1 c. whole-wheat flour"", ""1/2 c. all-purpose flour"", ""1 tsp. soda"", ""3/4 tsp. salt"", ""1/2 c. butter or margarine, softened"", ""3/4 c. sugar"", ""1 egg"", ""1 1/4 c. mashed bananas (3 large)"", ""1 c. pecans, chopped"", ""1/4 c. buttermilk""]","[""Combine flour, soda and salt; stir well and set aside. Combine butter and sugar; cream mixture until light and fluffy. Add egg and mix well. Combine bananas and buttermilk; add to creamed mixture. Alternate with dry ingredients. Mix in chopped pecans. Stir until combined. Pour batter into greased and floured 9 x 5 x 3-inch loaf pan. Bake at 350\u00b0 for 50 minutes or until bread tests done. Cool 10 minutes in pan; remove to wire rack and cool completely. Wonderful to freeze and pull out anytime.""]",www.cookbooks.com/Recipe-Details.aspx?id=73315,Gathered,"[""flour"", ""all-purpose"", ""soda"", ""salt"", ""butter"", ""sugar"", ""egg"", ""bananas"", ""pecans"", ""buttermilk""]"
361742,Chocolate Chip Cake,"[""2 c. sugar"", ""1 c. butter"", ""4 eggs"", ""3 c. flour"", ""1/2 tsp. salt"", ""1 c. buttermilk"", ""1/2 tsp. soda"", ""1/2 tsp. vanilla"", ""1 (12 oz.) chocolate chips"", ""2 Tbsp. cocoa"", ""1 c. chopped nuts""]","[""Mix flour with salt and cocoa; put soda in buttermilk."", ""Cream sugar and butter; add eggs, one at a time. Add flour and buttermilk alternately. Add vanilla, chips and nuts."", ""Bake in tube pan for about 1 hour and 15 minutes at 325\u00b0.""]",www.cookbooks.com/Recipe-Details.aspx?id=868256,Gathered,"[""sugar"", ""butter"", ""eggs"", ""flour"", ""salt"", ""buttermilk"", ""soda"", ""vanilla"", ""chocolate chips"", ""cocoa"", ""nuts""]"
363601,German Chocolate Pound Cake,"[""3 c. flour"", ""2 c. sugar"", ""4 eggs"", ""1 c. shortening"", ""2 tsp. butter flavoring"", ""2 tsp. vanilla"", ""1 c. buttermilk"", ""1/2 tsp. soda"", ""1 tsp. salt"", ""1 pkg. German sweet chocolate""]","[""Cream shortening and sugar; add eggs, one at a time, mixing well after each egg."", ""Add buttermilk and flavorings; mix and add dry ingredients, mixing well."", ""Melt chocolate over double boiler. Add to cake mix and blend."", ""Pour mixture into a greased and floured Bundt pan."", ""Bake at 300\u00b0 for 1 hour."", ""After turning out of pan, put a powdered sugar frosting glaze over it or eat plain.""]",www.cookbooks.com/Recipe-Details.aspx?id=403433,Gathered,"[""flour"", ""sugar"", ""eggs"", ""shortening"", ""butter"", ""vanilla"", ""buttermilk"", ""soda"", ""salt"", ""sweet chocolate""]"
364496,German Chocolate Cake,"[""1 (4 oz.) pkg. Baker's German's chocolate"", ""2 c. sugar"", ""1 tsp. vanilla"", ""1 tsp. soda"", ""1 c. buttermilk"", ""2 1/2 c. plain flour"", ""1/2 c. boiling water"", ""1 c. butter or margarine"", ""4 egg yolks"", ""1/2 tsp. salt"", ""4 egg whites, stiffly beaten""]","[""Melt"", ""chocolate"", ""in boiling water."", ""Cool."", ""Cream butter and sugar until fluffy."", ""Add egg yolks, one at a time, beating well after"", ""each"", ""one."", ""Blend"", ""in vanilla and chocolate."", ""Sift flour with"", ""soda and salt."", ""Add alternately with buttermilk to chocolate mixture,"", ""beating after each addition until smooth. Fold in beaten"", ""egg"", ""whites."", ""Pour\tinto"", ""four (9-inch) layer pans. Grease"", ""and"", ""flour\tpans"", ""very"", ""well."", ""Bake at 350\u00b0 for about"", ""30 minutes."", ""Cool and frost with Coconut-Pecan Frosting mix."", ""Frost between layers and sides also.""]",www.cookbooks.com/Recipe-Details.aspx?id=655232,Gathered,"[""chocolate"", ""sugar"", ""vanilla"", ""soda"", ""buttermilk"", ""flour"", ""boiling water"", ""butter"", ""egg yolks"", ""salt"", ""egg whites""]"
